,approach,student_id,student_name,student_params,student_acc,student_type,max_dist_delta,min_dist_delta,mean_dist_delta,std_dist_delta,q25_dist_delta,q75_dist_delta,pos_dist_delta,max_k_gain,min_k_gain,mean_k_gain,std_k_gain,q25_k_gain,q75_k_gain,max_k_loss,min_k_loss,mean_k_loss,std_k_loss,q25_k_loss,q75_k_loss
24,XEKL_Dist,26,pit_xs_224,10.62,77.082,transformer,0.1740000000000066,-2.823999999999984,-0.2346999999999923,0.6841676037346396,-0.15749999999999176,0.10650000000001114,60.0,2.506,1.39,1.9636999999999998,0.2860386512344092,1.7765,2.138,5.33,1.3,2.1985,0.8789274998542257,1.6750000000000003,2.2800000000000002
25,XEKL_Dist,171,pit_xs_distilled_224,11.0,77.872,transformer,0.09199999999999876,-2.5319999999999965,-0.31020000000000036,0.6122244359709915,-0.24249999999999972,0.008499999999994401,30.0,2.11,1.1780000000000002,1.5942,0.20610376027622587,1.4785,1.7005,4.642,1.3259999999999998,1.9044,0.759846194963165,1.56,1.8085
26,XEKL_Dist,33,ig_resnext101_32x16d,194.03,82.25,cnn,-0.3880000000000052,-3.3220000000000027,-0.9563000000000038,0.6671471426904266,-0.9170000000000051,-0.5775000000000077,0.0,2.546,1.7340000000000002,2.0279999999999996,0.18159405276605287,1.939,2.055,5.868,2.264,2.9843,0.8335846147812471,2.5345,2.9345
27,XEKL_Dist,131,gluon_senet154,115.09,80.746,cnn,0.06199999999999761,-1.3419999999999987,-0.33050000000000496,0.3215200615824753,-0.41450000000000387,-0.14850000000001273,10.0,2.938,2.428,2.6026,0.14784329541781738,2.472,2.724,4.279999999999999,2.39,2.9330999999999996,0.4284205760698241,2.6895,3.0295
28,XEKL_Dist,235,wide_resnet50_2,68.88,80.262,cnn,-0.3939999999999913,-1.0519999999999925,-0.5898999999999959,0.1676275335379011,-0.6025000000000027,-0.4985000000000035,0.0,2.196,1.858,1.9956,0.10266761904320178,1.8929999999999998,2.08,3.248,2.252,2.5854999999999997,0.23823507298464688,2.428,2.662
29,XEKL_Dist,132,gluon_resnet101_v1c,44.57,78.634,cnn,0.1900000000000119,-1.3859999999999957,-0.14899999999999594,0.3404746686612675,-0.15599999999999523,0.03849999999999909,30.0,2.626,1.96,2.2523999999999997,0.1976680044923811,2.1229999999999998,2.3935,3.96,2.06,2.4014,0.4260793822751812,2.1354999999999995,2.4955000000000003
30,XEKL_Dist,42,resnetv2_50,25.55,78.17399999999999,cnn,-1.799999999999983,-2.583999999999989,-2.053399999999992,0.2050161944822915,-2.1449999999999925,-1.9204999999999863,0.0,2.382,2.1319999999999997,2.2509,0.05825624430050402,2.2055,2.295,4.9,3.966,4.3043,0.24930485354280615,4.1125,4.443
31,XEKL_Dist,130,resnetv2_50x1_bit_distilled,25.55,82.124,cnn,0.16600000000001103,-1.3659999999999997,-0.14129999999999326,0.322358976918591,-0.2004999999999839,0.009500000000006281,25.0,2.388,1.092,1.502,0.31674595498601077,1.2919999999999998,1.7005,3.754,0.992,1.6433,0.5999730910632576,1.2690000000000001,1.722
32,XEKL_Dist,48,gluon_resnet34_v1b,21.8,71.808,cnn,0.08400000000000318,-2.61399999999999,-0.8006999999999962,0.7284101248609857,-1.355999999999991,-0.13799999999999102,10.0,2.738,2.062,2.4466,0.18729452741604605,2.315,2.6035,5.351999999999999,2.1340000000000003,3.2473,0.8855159569426176,2.3775000000000004,3.9219999999999997
33,XEKL_Dist,214,mixer_l16_224,208.2,77.214,mlp,6.211999999999989,4.563999999999993,5.643199999999995,0.37995178641506605,5.471,5.848999999999993,100.0,8.91,7.728,8.333400000000001,0.3131543389448724,8.169,8.482,3.646,2.138,2.6902,0.3564406823021188,2.505,2.8235
34,XEKL_Dist,2,mixer_b16_224_miil,59.88,81.082,mlp,0.28600000000000136,-3.3560000000000088,-0.3738000000000021,0.8328495422343717,-0.3785000000000025,0.07999999999999474,50.0,1.984,0.894,1.2878,0.2549563884275112,1.1295,1.4084999999999999,5.34,0.7939999999999999,1.6616,1.0634589977991629,1.065,1.8255
35,XEKL_Dist,9,mixer_b16_224,59.88,77.328,mlp,2.1599999999999824,-0.5860000000000127,1.725499999999991,0.6395804484191183,1.7399999999999984,2.0544999999999938,95.0,5.144,3.975999999999999,4.581,0.3335425010399726,4.343999999999999,4.858,5.62,1.976,2.8554999999999997,0.8669121927854055,2.2895000000000003,2.9625
36,XEKL_Dist,77,resmlp_36_224,44.69,78.574,mlp,0.4140000000000015,-2.793999999999997,-0.22599999999999767,0.7035254082120977,-0.37049999999999983,0.20900000000000318,45.0,2.63,0.528,2.1010000000000004,0.44164895561973194,1.8739999999999999,2.3235,5.4239999999999995,0.496,2.327,0.9917504726492445,1.661,2.6725
37,XEKL_Dist,258,resmlp_24_224,30.02,79.388,mlp,0.4539999999999935,-2.450000000000003,-0.04140000000000228,0.6804792722780028,-0.07800000000000296,0.3200000000000074,75.0,2.646,1.206,1.9281000000000001,0.38192013563047444,1.633,2.284,5.096,0.928,1.9695000000000005,0.9798924175642957,1.2650000000000001,2.3695
38,XEKL_Dist,160,resmlp_24_distilled_224,30.02,80.414,mlp,0.3799999999999813,-2.778000000000006,-0.19900000000000945,0.7457692672670276,-0.4105000000000061,0.2624999999999922,60.0,2.242,0.744,1.5177999999999998,0.3497489957097804,1.2285,1.7495,5.0200000000000005,0.738,1.7167999999999999,1.0088479370053745,1.0205,2.2035
39,XEKL_Dist,72,resmlp_12_224,15.35,76.698,mlp,0.3859999999999957,-1.8119999999999976,-0.08740000000000592,0.4833045002894111,-0.1404999999999994,0.19849999999999213,55.00000000000001,3.11,1.876,2.5574000000000003,0.3358678906951363,2.3305,2.862,4.466,1.572,2.6448000000000005,0.6630992082637408,2.24,2.8605
40,CD_Dist,41,xcit_large_24_p16_224,189.1,81.91199999999999,transformer,0.1039999999999992,-0.9879999999999995,-0.4428999999999981,0.3716839921223396,-0.8469999999999942,-0.12449999999999406,15.0,2.8240000000000003,2.22,2.5042,0.19094910316626262,2.35,2.682,3.798,2.28,2.9471,0.5273512965756317,2.43,3.4364999999999997
41,CD_Dist,7,vit_base_patch16_224,86.57,82.16,transformer,0.02199999999999136,-2.1880000000000024,-0.6812000000000019,0.5572735055607789,-0.7500000000000036,-0.32300000000000395,5.0,2.55,1.73,2.1948999999999996,0.17629234243154182,2.0825,2.3040000000000003,4.694,2.024,2.8761,0.6879094344461341,2.4385000000000003,2.9575
42,CD_Dist,5,pit_b_224,73.76,82.634,transformer,0.9939999999999998,-0.2199999999999989,0.3977000000000004,0.4453804104358417,-0.045499999999993435,0.8335000000000008,70.0,3.556,2.264,2.8812,0.4077957331802283,2.496,3.1694999999999998,3.776,1.5,2.4835000000000003,0.7769998391248225,1.71,3.3305
43,CD_Dist,46,vit_relpos_medium_patch16_224,38.75,81.256,transformer,0.18000000000000682,-2.323999999999984,-0.5002999999999936,0.5992092372452197,-0.8504999999999896,0.0015000000000071623,25.0,2.6100000000000003,1.228,1.9108,0.380343739267521,1.5675,2.1494999999999997,4.934,1.112,2.4111000000000002,0.9535490496036374,1.5885,3.015
44,CD_Dist,26,pit_xs_224,10.62,75.616,transformer,-0.6239999999999952,-5.890000000000001,-2.690699999999995,1.8040409391141852,-4.238999999999997,-0.7574999999999967,0.0,2.856,1.654,2.3944,0.3851200332363925,2.039,2.765,8.676,2.308,5.0851,2.1611458511632207,2.7270000000000003,7.084
45,CD_Dist,171,pit_xs_distilled_224,11.0,76.69200000000001,transformer,-0.7000000000000028,-5.516000000000005,-2.694100000000007,1.654120246535905,-4.25650000000001,-1.1200000000000012,0.0,2.6100000000000003,1.582,2.1880000000000006,0.30788829143051216,1.906,2.5039999999999996,8.026,2.282,4.8821,1.9451175260122457,3.0535,6.765499999999999
46,CD_Dist,33,ig_resnext101_32x16d,194.03,80.042,cnn,-2.0859999999999985,-84.01,-6.9887,17.68078309662782,-3.5564999999999998,-2.3764999999999965,0.0,2.442,0.006,1.9107999999999996,0.5071735008850522,1.7675,2.2939999999999996,84.016,3.948,8.899500000000002,17.254639339899285,4.083,5.894
47,CD_Dist,131,gluon_senet154,115.09,79.132,cnn,-1.1340000000000003,-2.108000000000004,-1.7799000000000036,0.2979593764257117,-2.0310000000000024,-1.5779999999999996,0.0,2.838,2.518,2.7133000000000003,0.09942087305993648,2.673,2.788,4.9079999999999995,3.684,4.4932,0.376268202217514,4.3175,4.7575
48,CD_Dist,235,wide_resnet50_2,68.88,78.88199999999999,cnn,-0.7959999999999923,-3.798000000000002,-1.9539000000000009,0.731215556453773,-2.1614999999999895,-1.6554999999999929,0.0,2.852,2.016,2.2649999999999997,0.2486503569271518,2.092,2.354,6.65,2.812,4.2189,0.9568118885130974,3.7835000000000005,4.392
